epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22676.3,1.34319,3.75152,1.92643,0.60105,0.24048,0.16975,0.15372,0.42539,3.64894,0.78565,0.000165789,0.000165789,0.000165789
2,1175.89,1.03176,2.65022,1.73241,0.66398,0.33791,0.38771,0.36545,0.41493,2.81312,0.71401,0.000325874,0.000325874,0.000325874
3,2479.08,0.96342,2.17376,1.59271,0.40383,0.56117,0.43621,0.36624,0.7133,2.53285,1.04566,0.000479358,0.000479358,0.000479358
