epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1368.47,1.116,4.26506,1.14369,0.10552,0.15047,0.0528,0.04341,1.0689,3.64775,1.06373,0.000107434,0.000107434,0.000107434
2,2871.52,1.15182,3.22794,1.14953,0.21025,0.20996,0.16584,0.12861,1.11675,2.86532,1.11548,0.000202195,0.000202195,0.000202195
3,4644.45,1.11764,2.63748,1.14933,0.28007,0.44013,0.29109,0.21262,1.00147,2.308,1.04144,0.000284035,0.000284035,0.000284035
4,13008.1,1.05697,2.35776,1.12805,0.29752,0.43552,0.35161,0.25997,0.96968,2.29639,1.0448,0.00026486,0.00026486,0.00026486
